Module;Name;
n_radix_switch.host[0];Latengy:mean;1.47E-06
n_radix_switch.host[0];Throughput:mean;2.44E+07
;;
n_radix_switch.host[1];Latengy:mean;1.44E-06
n_radix_switch.host[1];Throughput:mean;2.40E+07
;;
n_radix_switch.host[2];Latengy:mean;1.43E-06
n_radix_switch.host[2];Throughput:mean;2.58E+07
;;
n_radix_switch.host[3];Latengy:mean;1.46E-06
n_radix_switch.host[3];Throughput:mean;2.38E+07
;;
n_radix_switch.host[4];Latengy:mean;1.39E-06
n_radix_switch.host[4];Throughput:mean;2.30E+07
;;
n_radix_switch.host[5];Latengy:mean;1.43E-06
n_radix_switch.host[5];Throughput:mean;2.39E+07
;;
n_radix_switch.host[6];Latengy:mean;1.43E-06
n_radix_switch.host[6];Throughput:mean;2.37E+07
;;
n_radix_switch.host[7];Latengy:mean;1.46E-06
n_radix_switch.host[7];Throughput:mean;2.41E+07
;;
n_radix_switch.host[8];Latengy:mean;1.48E-06
n_radix_switch.host[8];Throughput:mean;2.43E+07
;;
n_radix_switch.host[9];Latengy:mean;1.54E-06
n_radix_switch.host[9];Throughput:mean;2.57E+07
;;
n_radix_switch.host[10];Latengy:mean;1.45E-06
n_radix_switch.host[10];Throughput:mean;2.44E+07
;;
n_radix_switch.host[11];Latengy:mean;1.43E-06
n_radix_switch.host[11];Throughput:mean;2.59E+07
;;
n_radix_switch.host[12];Latengy:mean;1.51E-06
n_radix_switch.host[12];Throughput:mean;2.50E+07
;;
n_radix_switch.host[13];Latengy:mean;1.44E-06
n_radix_switch.host[13];Throughput:mean;2.43E+07
;;
n_radix_switch.host[14];Latengy:mean;1.46E-06
n_radix_switch.host[14];Throughput:mean;2.45E+07
;;
n_radix_switch.host[15];Latengy:mean;1.39E-06
n_radix_switch.host[15];Throughput:mean;2.40E+07
