Module,Name,
n_radix_switch.host[0],Latengy:mean,3.55E-07
n_radix_switch.host[0],Throughput:mean,2.44E+07
,,
n_radix_switch.host[1],Latengy:mean,3.51E-07
n_radix_switch.host[1],Throughput:mean,2.43E+07
,,
n_radix_switch.host[2],Latengy:mean,3.65E-07
n_radix_switch.host[2],Throughput:mean,2.54E+07
,,
n_radix_switch.host[3],Latengy:mean,3.56E-07
n_radix_switch.host[3],Throughput:mean,2.49E+07
,,
n_radix_switch.host[4],Latengy:mean,3.65E-07
n_radix_switch.host[4],Throughput:mean,2.37E+07
,,
n_radix_switch.host[5],Latengy:mean,3.51E-07
n_radix_switch.host[5],Throughput:mean,2.28E+07
,,
n_radix_switch.host[6],Latengy:mean,3.58E-07
n_radix_switch.host[6],Throughput:mean,2.29E+07
,,
n_radix_switch.host[7],Latengy:mean,3.59E-07
n_radix_switch.host[7],Throughput:mean,2.43E+07
