Module;Name;
k_ary_n_mesh.host[0];Latengy:count;1001
k_ary_n_mesh.host[0];Latengy:mean;0.000134507
k_ary_n_mesh.host[0];Latengy:stddev;0.00021279
k_ary_n_mesh.host[0];Latengy:sum;0.134642
k_ary_n_mesh.host[0];Latengy:sqrsum;6.34E-05
k_ary_n_mesh.host[0];Latengy:min;8.77E-08
k_ary_n_mesh.host[0];Latengy:max;0.00156258
k_ary_n_mesh.host[0];Throughput:count;1
k_ary_n_mesh.host[0];Throughput:mean;641177
k_ary_n_mesh.host[0];Throughput:stddev;NaN
k_ary_n_mesh.host[0];Throughput:sum;641177
k_ary_n_mesh.host[0];Throughput:sqrsum;4.11E+11
k_ary_n_mesh.host[0];Throughput:min;641177
k_ary_n_mesh.host[0];Throughput:max;641177
k_ary_n_mesh.host[1];Latengy:count;1025
k_ary_n_mesh.host[1];Latengy:mean;0.000149725
k_ary_n_mesh.host[1];Latengy:stddev;0.000204585
k_ary_n_mesh.host[1];Latengy:sum;0.153468
k_ary_n_mesh.host[1];Latengy:sqrsum;6.58E-05
k_ary_n_mesh.host[1];Latengy:min;9.26E-08
k_ary_n_mesh.host[1];Latengy:max;0.00114218
k_ary_n_mesh.host[1];Throughput:count;1
k_ary_n_mesh.host[1];Throughput:mean;656550
k_ary_n_mesh.host[1];Throughput:stddev;NaN
k_ary_n_mesh.host[1];Throughput:sum;656550
k_ary_n_mesh.host[1];Throughput:sqrsum;4.31E+11
k_ary_n_mesh.host[1];Throughput:min;656550
k_ary_n_mesh.host[1];Throughput:max;656550
k_ary_n_mesh.host[2];Latengy:count;953
k_ary_n_mesh.host[2];Latengy:mean;0.000148567
k_ary_n_mesh.host[2];Latengy:stddev;0.000197187
k_ary_n_mesh.host[2];Latengy:sum;0.141584
k_ary_n_mesh.host[2];Latengy:sqrsum;5.81E-05
k_ary_n_mesh.host[2];Latengy:min;9.83E-08
k_ary_n_mesh.host[2];Latengy:max;0.00135891
k_ary_n_mesh.host[2];Throughput:count;1
k_ary_n_mesh.host[2];Throughput:mean;610431
k_ary_n_mesh.host[2];Throughput:stddev;NaN
k_ary_n_mesh.host[2];Throughput:sum;610431
k_ary_n_mesh.host[2];Throughput:sqrsum;3.73E+11
k_ary_n_mesh.host[2];Throughput:min;610431
k_ary_n_mesh.host[2];Throughput:max;610431
k_ary_n_mesh.host[3];Latengy:count;990
k_ary_n_mesh.host[3];Latengy:mean;0.000149971
k_ary_n_mesh.host[3];Latengy:stddev;0.000183516
k_ary_n_mesh.host[3];Latengy:sum;0.148471
k_ary_n_mesh.host[3];Latengy:sqrsum;5.56E-05
k_ary_n_mesh.host[3];Latengy:min;1.05E-07
k_ary_n_mesh.host[3];Latengy:max;0.000980978
k_ary_n_mesh.host[3];Throughput:count;1
k_ary_n_mesh.host[3];Throughput:mean;634131
k_ary_n_mesh.host[3];Throughput:stddev;NaN
k_ary_n_mesh.host[3];Throughput:sum;634131
k_ary_n_mesh.host[3];Throughput:sqrsum;4.02E+11
k_ary_n_mesh.host[3];Throughput:min;634131
k_ary_n_mesh.host[3];Throughput:max;634131
k_ary_n_mesh.host[4];Latengy:count;1007
k_ary_n_mesh.host[4];Latengy:mean;0.000167739
k_ary_n_mesh.host[4];Latengy:stddev;0.000196794
k_ary_n_mesh.host[4];Latengy:sum;0.168913
k_ary_n_mesh.host[4];Latengy:sqrsum;6.73E-05
k_ary_n_mesh.host[4];Latengy:min;1.13E-07
k_ary_n_mesh.host[4];Latengy:max;0.00101934
k_ary_n_mesh.host[4];Throughput:count;1
k_ary_n_mesh.host[4];Throughput:mean;645020
k_ary_n_mesh.host[4];Throughput:stddev;NaN
k_ary_n_mesh.host[4];Throughput:sum;645020
k_ary_n_mesh.host[4];Throughput:sqrsum;4.16E+11
k_ary_n_mesh.host[4];Throughput:min;645020
k_ary_n_mesh.host[4];Throughput:max;645020
k_ary_n_mesh.host[5];Latengy:count;961
k_ary_n_mesh.host[5];Latengy:mean;0.000153751
k_ary_n_mesh.host[5];Latengy:stddev;0.000185598
k_ary_n_mesh.host[5];Latengy:sum;0.147755
k_ary_n_mesh.host[5];Latengy:sqrsum;5.58E-05
k_ary_n_mesh.host[5];Latengy:min;1.05E-07
k_ary_n_mesh.host[5];Latengy:max;0.00104328
k_ary_n_mesh.host[5];Throughput:count;1
k_ary_n_mesh.host[5];Throughput:mean;615555
k_ary_n_mesh.host[5];Throughput:stddev;NaN
k_ary_n_mesh.host[5];Throughput:sum;615555
k_ary_n_mesh.host[5];Throughput:sqrsum;3.79E+11
k_ary_n_mesh.host[5];Throughput:min;615555
k_ary_n_mesh.host[5];Throughput:max;615555
k_ary_n_mesh.host[6];Latengy:count;997
k_ary_n_mesh.host[6];Latengy:mean;0.000159191
k_ary_n_mesh.host[6];Latengy:stddev;0.000234875
k_ary_n_mesh.host[6];Latengy:sum;0.158713
k_ary_n_mesh.host[6];Latengy:sqrsum;8.02E-05
k_ary_n_mesh.host[6];Latengy:min;1.13E-07
k_ary_n_mesh.host[6];Latengy:max;0.00160442
k_ary_n_mesh.host[6];Throughput:count;1
k_ary_n_mesh.host[6];Throughput:mean;638615
k_ary_n_mesh.host[6];Throughput:stddev;NaN
k_ary_n_mesh.host[6];Throughput:sum;638615
k_ary_n_mesh.host[6];Throughput:sqrsum;4.08E+11
k_ary_n_mesh.host[6];Throughput:min;638615
k_ary_n_mesh.host[6];Throughput:max;638615
k_ary_n_mesh.host[7];Latengy:count;985
k_ary_n_mesh.host[7];Latengy:mean;0.000123808
k_ary_n_mesh.host[7];Latengy:stddev;0.00017256
k_ary_n_mesh.host[7];Latengy:sum;0.121951
k_ary_n_mesh.host[7];Latengy:sqrsum;4.44E-05
k_ary_n_mesh.host[7];Latengy:min;9.26E-08
k_ary_n_mesh.host[7];Latengy:max;0.000955531
k_ary_n_mesh.host[7];Throughput:count;1
k_ary_n_mesh.host[7];Throughput:mean;630928
k_ary_n_mesh.host[7];Throughput:stddev;NaN
k_ary_n_mesh.host[7];Throughput:sum;630928
k_ary_n_mesh.host[7];Throughput:sqrsum;3.98E+11
k_ary_n_mesh.host[7];Throughput:min;630928
k_ary_n_mesh.host[7];Throughput:max;630928
k_ary_n_mesh.host[8];Latengy:count;1019
k_ary_n_mesh.host[8];Latengy:mean;0.000128604
k_ary_n_mesh.host[8];Latengy:stddev;0.00015922
k_ary_n_mesh.host[8];Latengy:sum;0.131047
k_ary_n_mesh.host[8];Latengy:sqrsum;4.27E-05
k_ary_n_mesh.host[8];Latengy:min;9.26E-08
k_ary_n_mesh.host[8];Latengy:max;0.00113103
k_ary_n_mesh.host[8];Throughput:count;1
k_ary_n_mesh.host[8];Throughput:mean;652706
k_ary_n_mesh.host[8];Throughput:stddev;NaN
k_ary_n_mesh.host[8];Throughput:sum;652706
k_ary_n_mesh.host[8];Throughput:sqrsum;4.26E+11
k_ary_n_mesh.host[8];Throughput:min;652706
k_ary_n_mesh.host[8];Throughput:max;652706
k_ary_n_mesh.host[9];Latengy:count;983
k_ary_n_mesh.host[9];Latengy:mean;0.000169622
k_ary_n_mesh.host[9];Latengy:stddev;0.000246292
k_ary_n_mesh.host[9];Latengy:sum;0.166738
k_ary_n_mesh.host[9];Latengy:sqrsum;8.79E-05
k_ary_n_mesh.host[9];Latengy:min;9.83E-08
k_ary_n_mesh.host[9];Latengy:max;0.00161
k_ary_n_mesh.host[9];Throughput:count;1
k_ary_n_mesh.host[9];Throughput:mean;629647
k_ary_n_mesh.host[9];Throughput:stddev;NaN
k_ary_n_mesh.host[9];Throughput:sum;629647
k_ary_n_mesh.host[9];Throughput:sqrsum;3.96E+11
k_ary_n_mesh.host[9];Throughput:min;629647
k_ary_n_mesh.host[9];Throughput:max;629647
k_ary_n_mesh.host[10];Latengy:count;1014
k_ary_n_mesh.host[10];Latengy:mean;0.00016495
k_ary_n_mesh.host[10];Latengy:stddev;0.000206947
k_ary_n_mesh.host[10];Latengy:sum;0.16726
k_ary_n_mesh.host[10];Latengy:sqrsum;7.10E-05
k_ary_n_mesh.host[10];Latengy:min;1.05E-07
k_ary_n_mesh.host[10];Latengy:max;0.00110605
k_ary_n_mesh.host[10];Throughput:count;1
k_ary_n_mesh.host[10];Throughput:mean;649504
k_ary_n_mesh.host[10];Throughput:stddev;NaN
k_ary_n_mesh.host[10];Throughput:sum;649504
k_ary_n_mesh.host[10];Throughput:sqrsum;4.22E+11
k_ary_n_mesh.host[10];Throughput:min;649504
k_ary_n_mesh.host[10];Throughput:max;649504
k_ary_n_mesh.host[11];Latengy:count;1029
k_ary_n_mesh.host[11];Latengy:mean;0.000176227
k_ary_n_mesh.host[11];Latengy:stddev;0.000212433
k_ary_n_mesh.host[11];Latengy:sum;0.181338
k_ary_n_mesh.host[11];Latengy:sqrsum;7.83E-05
k_ary_n_mesh.host[11];Latengy:min;1.13E-07
k_ary_n_mesh.host[11];Latengy:max;0.00111699
k_ary_n_mesh.host[11];Throughput:count;1
k_ary_n_mesh.host[11];Throughput:mean;659112
k_ary_n_mesh.host[11];Throughput:stddev;NaN
k_ary_n_mesh.host[11];Throughput:sum;659112
k_ary_n_mesh.host[11];Throughput:sqrsum;4.34E+11
k_ary_n_mesh.host[11];Throughput:min;659112
k_ary_n_mesh.host[11];Throughput:max;659112
k_ary_n_mesh.host[12];Latengy:count;1028
k_ary_n_mesh.host[12];Latengy:mean;0.000173539
k_ary_n_mesh.host[12];Latengy:stddev;0.000211993
k_ary_n_mesh.host[12];Latengy:sum;0.178398
k_ary_n_mesh.host[12];Latengy:sqrsum;7.71E-05
k_ary_n_mesh.host[12];Latengy:min;1.22E-07
k_ary_n_mesh.host[12];Latengy:max;0.00129903
k_ary_n_mesh.host[12];Throughput:count;1
k_ary_n_mesh.host[12];Throughput:mean;658471
k_ary_n_mesh.host[12];Throughput:stddev;NaN
k_ary_n_mesh.host[12];Throughput:sum;658471
k_ary_n_mesh.host[12];Throughput:sqrsum;4.34E+11
k_ary_n_mesh.host[12];Throughput:min;658471
k_ary_n_mesh.host[12];Throughput:max;658471
k_ary_n_mesh.host[13];Latengy:count;986
k_ary_n_mesh.host[13];Latengy:mean;0.000165007
k_ary_n_mesh.host[13];Latengy:stddev;0.000208965
k_ary_n_mesh.host[13];Latengy:sum;0.162697
k_ary_n_mesh.host[13];Latengy:sqrsum;6.99E-05
k_ary_n_mesh.host[13];Latengy:min;1.13E-07
