Module;Name;
k_ary_n_mesh.host[0];Latengy:mean;2.20E-04
k_ary_n_mesh.host[0];Throughput:mean;1.64E+07
k_ary_n_mesh.host[1];Latengy:mean;2.43E-04
k_ary_n_mesh.host[1];Throughput:mean;1.66E+07
k_ary_n_mesh.host[2];Latengy:mean;2.42E-04
k_ary_n_mesh.host[2];Throughput:mean;1.56E+07
k_ary_n_mesh.host[3];Latengy:mean;2.46E-04
k_ary_n_mesh.host[3];Throughput:mean;1.63E+07
k_ary_n_mesh.host[4];Latengy:mean;2.32E-04
k_ary_n_mesh.host[4];Throughput:mean;1.66E+07
k_ary_n_mesh.host[5];Latengy:mean;2.21E-04
k_ary_n_mesh.host[5];Throughput:mean;1.56E+07
k_ary_n_mesh.host[6];Latengy:mean;2.34E-04
k_ary_n_mesh.host[6];Throughput:mean;1.64E+07
k_ary_n_mesh.host[7];Latengy:mean;2.10E-04
k_ary_n_mesh.host[7];Throughput:mean;1.55E+07
k_ary_n_mesh.host[8];Latengy:mean;2.34E-04
k_ary_n_mesh.host[8];Throughput:mean;1.59E+07
k_ary_n_mesh.host[9];Latengy:mean;2.65E-04
k_ary_n_mesh.host[9];Throughput:mean;1.58E+07
k_ary_n_mesh.host[10];Latengy:mean;2.69E-04
k_ary_n_mesh.host[10];Throughput:mean;1.58E+07
k_ary_n_mesh.host[11];Latengy:mean;2.72E-04
k_ary_n_mesh.host[11];Throughput:mean;1.76E+07
k_ary_n_mesh.host[12];Latengy:mean;2.70E-04
k_ary_n_mesh.host[12];Throughput:mean;1.58E+07
k_ary_n_mesh.host[13];Latengy:mean;2.72E-04
k_ary_n_mesh.host[13];Throughput:mean;1.59E+07
k_ary_n_mesh.host[14];Latengy:mean;2.61E-04
k_ary_n_mesh.host[14];Throughput:mean;1.58E+07
k_ary_n_mesh.host[15];Latengy:mean;2.37E-04
k_ary_n_mesh.host[15];Throughput:mean;1.64E+07
k_ary_n_mesh.host[16];Latengy:mean;2.38E-04
k_ary_n_mesh.host[16];Throughput:mean;1.58E+07
k_ary_n_mesh.host[17];Latengy:mean;2.71E-04
k_ary_n_mesh.host[17];Throughput:mean;1.59E+07
k_ary_n_mesh.host[18];Latengy:mean;2.78E-04
k_ary_n_mesh.host[18];Throughput:mean;1.55E+07
k_ary_n_mesh.host[19];Latengy:mean;2.92E-04
k_ary_n_mesh.host[19];Throughput:mean;1.49E+07
k_ary_n_mesh.host[20];Latengy:mean;2.81E-04
k_ary_n_mesh.host[20];Throughput:mean;1.56E+07
k_ary_n_mesh.host[21];Latengy:mean;2.86E-04
k_ary_n_mesh.host[21];Throughput:mean;1.67E+07
k_ary_n_mesh.host[22];Latengy:mean;2.90E-04
k_ary_n_mesh.host[22];Throughput:mean;1.55E+07
k_ary_n_mesh.host[23];Latengy:mean;2.56E-04
k_ary_n_mesh.host[23];Throughput:mean;1.68E+07
k_ary_n_mesh.host[24];Latengy:mean;2.47E-04
k_ary_n_mesh.host[24];Throughput:mean;1.60E+07
k_ary_n_mesh.host[25];Latengy:mean;2.79E-04
k_ary_n_mesh.host[25];Throughput:mean;1.64E+07
k_ary_n_mesh.host[26];Latengy:mean;2.96E-04
k_ary_n_mesh.host[26];Throughput:mean;1.54E+07
k_ary_n_mesh.host[27];Latengy:mean;2.92E-04
k_ary_n_mesh.host[27];Throughput:mean;1.61E+07
k_ary_n_mesh.host[28];Latengy:mean;2.83E-04
k_ary_n_mesh.host[28];Throughput:mean;1.63E+07
k_ary_n_mesh.host[29];Latengy:mean;2.84E-04
k_ary_n_mesh.host[29];Throughput:mean;1.64E+07
k_ary_n_mesh.host[30];Latengy:mean;2.79E-04
k_ary_n_mesh.host[30];Throughput:mean;1.67E+07
k_ary_n_mesh.host[31];Latengy:mean;2.53E-04
k_ary_n_mesh.host[31];Throughput:mean;1.58E+07
k_ary_n_mesh.host[32];Latengy:mean;2.56E-04
k_ary_n_mesh.host[32];Throughput:mean;1.55E+07
k_ary_n_mesh.host[33];Latengy:mean;2.96E-04
k_ary_n_mesh.host[33];Throughput:mean;1.63E+07
k_ary_n_mesh.host[34];Latengy:mean;2.84E-04
k_ary_n_mesh.host[34];Throughput:mean;1.58E+07
k_ary_n_mesh.host[35];Latengy:mean;2.83E-04
k_ary_n_mesh.host[35];Throughput:mean;1.68E+07
k_ary_n_mesh.host[36];Latengy:mean;2.99E-04
k_ary_n_mesh.host[36];Throughput:mean;1.61E+07
k_ary_n_mesh.host[37];Latengy:mean;2.82E-04
k_ary_n_mesh.host[37];Throughput:mean;1.66E+07
k_ary_n_mesh.host[38];Latengy:mean;2.76E-04
k_ary_n_mesh.host[38];Throughput:mean;1.62E+07
k_ary_n_mesh.host[39];Latengy:mean;2.56E-04
k_ary_n_mesh.host[39];Throughput:mean;1.66E+07
k_ary_n_mesh.host[40];Latengy:mean;2.56E-04
k_ary_n_mesh.host[40];Throughput:mean;1.59E+07
k_ary_n_mesh.host[41];Latengy:mean;2.69E-04
k_ary_n_mesh.host[41];Throughput:mean;1.63E+07
k_ary_n_mesh.host[42];Latengy:mean;2.87E-04
k_ary_n_mesh.host[42];Throughput:mean;1.64E+07
k_ary_n_mesh.host[43];Latengy:mean;2.83E-04
k_ary_n_mesh.host[43];Throughput:mean;1.66E+07
k_ary_n_mesh.host[44];Latengy:mean;2.88E-04
k_ary_n_mesh.host[44];Throughput:mean;1.66E+07
k_ary_n_mesh.host[45];Latengy:mean;2.88E-04
k_ary_n_mesh.host[45];Throughput:mean;1.58E+07
k_ary_n_mesh.host[46];Latengy:mean;2.65E-04
k_ary_n_mesh.host[46];Throughput:mean;1.56E+07
k_ary_n_mesh.host[47];Latengy:mean;2.34E-04
k_ary_n_mesh.host[47];Throughput:mean;1.60E+07
k_ary_n_mesh.host[48];Latengy:mean;2.41E-04
k_ary_n_mesh.host[48];Throughput:mean;1.63E+07
k_ary_n_mesh.host[49];Latengy:mean;2.66E-04
k_ary_n_mesh.host[49];Throughput:mean;1.65E+07
k_ary_n_mesh.host[50];Latengy:mean;2.65E-04
k_ary_n_mesh.host[50];Throughput:mean;1.67E+07
k_ary_n_mesh.host[51];Latengy:mean;2.65E-04
k_ary_n_mesh.host[51];Throughput:mean;1.63E+07
k_ary_n_mesh.host[52];Latengy:mean;2.76E-04
k_ary_n_mesh.host[52];Throughput:mean;1.61E+07
k_ary_n_mesh.host[53];Latengy:mean;2.61E-04
k_ary_n_mesh.host[53];Throughput:mean;1.46E+07
k_ary_n_mesh.host[54];Latengy:mean;2.46E-04
k_ary_n_mesh.host[54];Throughput:mean;1.57E+07
k_ary_n_mesh.host[55];Latengy:mean;2.46E-04
k_ary_n_mesh.host[55];Throughput:mean;1.55E+07
k_ary_n_mesh.host[56];Latengy:mean;2.18E-04
k_ary_n_mesh.host[56];Throughput:mean;1.60E+07
k_ary_n_mesh.host[57];Latengy:mean;2.32E-04
k_ary_n_mesh.host[57];Throughput:mean;1.59E+07
k_ary_n_mesh.host[58];Latengy:mean;2.36E-04
k_ary_n_mesh.host[58];Throughput:mean;1.66E+07
k_ary_n_mesh.host[59];Latengy:mean;2.39E-04
k_ary_n_mesh.host[59];Throughput:mean;1.53E+07
k_ary_n_mesh.host[60];Latengy:mean;2.50E-04
k_ary_n_mesh.host[60];Throughput:mean;1.60E+07
k_ary_n_mesh.host[61];Latengy:mean;2.49E-04
k_ary_n_mesh.host[61];Throughput:mean;1.57E+07
k_ary_n_mesh.host[62];Latengy:mean;2.34E-04
k_ary_n_mesh.host[62];Throughput:mean;1.71E+07
k_ary_n_mesh.host[63];Latengy:mean;2.09E-04
k_ary_n_mesh.host[63];Throughput:mean;1.61E+07
;;
