Module;Name;
k_ary_n_mesh.host[0];Latengy:count;998
k_ary_n_mesh.host[0];Latengy:mean;0.000111054
k_ary_n_mesh.host[0];Latengy:stddev;0.000164845
k_ary_n_mesh.host[0];Latengy:sum;0.110832
k_ary_n_mesh.host[0];Latengy:sqrsum;3.94E-05
k_ary_n_mesh.host[0];Latengy:min;8.77E-08
k_ary_n_mesh.host[0];Latengy:max;0.00136971
k_ary_n_mesh.host[0];Throughput:count;1
k_ary_n_mesh.host[0];Throughput:mean;6.91E+06
k_ary_n_mesh.host[0];Throughput:stddev;NaN
k_ary_n_mesh.host[0];Throughput:sum;6.91E+06
k_ary_n_mesh.host[0];Throughput:sqrsum;4.78E+13
k_ary_n_mesh.host[0];Throughput:min;6.91E+06
k_ary_n_mesh.host[0];Throughput:max;6.91E+06
k_ary_n_mesh.host[1];Latengy:count;1024
k_ary_n_mesh.host[1];Latengy:mean;0.000130272
k_ary_n_mesh.host[1];Latengy:stddev;0.000178682
k_ary_n_mesh.host[1];Latengy:sum;0.133398
k_ary_n_mesh.host[1];Latengy:sqrsum;5.00E-05
k_ary_n_mesh.host[1];Latengy:min;9.26E-08
k_ary_n_mesh.host[1];Latengy:max;0.00108638
k_ary_n_mesh.host[1];Throughput:count;1
k_ary_n_mesh.host[1];Throughput:mean;7.09E+06
k_ary_n_mesh.host[1];Throughput:stddev;NaN
k_ary_n_mesh.host[1];Throughput:sum;7.09E+06
k_ary_n_mesh.host[1];Throughput:sqrsum;5.03E+13
k_ary_n_mesh.host[1];Throughput:min;7.09E+06
k_ary_n_mesh.host[1];Throughput:max;7.09E+06
k_ary_n_mesh.host[2];Latengy:count;952
k_ary_n_mesh.host[2];Latengy:mean;0.000136385
k_ary_n_mesh.host[2];Latengy:stddev;0.000174941
k_ary_n_mesh.host[2];Latengy:sum;0.129839
k_ary_n_mesh.host[2];Latengy:sqrsum;4.68E-05
k_ary_n_mesh.host[2];Latengy:min;9.83E-08
k_ary_n_mesh.host[2];Latengy:max;0.0011488
k_ary_n_mesh.host[2];Throughput:count;1
k_ary_n_mesh.host[2];Throughput:mean;6.59E+06
k_ary_n_mesh.host[2];Throughput:stddev;NaN
k_ary_n_mesh.host[2];Throughput:sum;6.59E+06
k_ary_n_mesh.host[2];Throughput:sqrsum;4.35E+13
k_ary_n_mesh.host[2];Throughput:min;6.59E+06
k_ary_n_mesh.host[2];Throughput:max;6.59E+06
k_ary_n_mesh.host[3];Latengy:count;1024
k_ary_n_mesh.host[3];Latengy:mean;0.00013727
k_ary_n_mesh.host[3];Latengy:stddev;0.000158789
k_ary_n_mesh.host[3];Latengy:sum;0.140565
k_ary_n_mesh.host[3];Latengy:sqrsum;4.51E-05
k_ary_n_mesh.host[3];Latengy:min;1.05E-07
k_ary_n_mesh.host[3];Latengy:max;0.000904497
k_ary_n_mesh.host[3];Throughput:count;1
k_ary_n_mesh.host[3];Throughput:mean;7.09E+06
k_ary_n_mesh.host[3];Throughput:stddev;NaN
k_ary_n_mesh.host[3];Throughput:sum;7.09E+06
k_ary_n_mesh.host[3];Throughput:sqrsum;5.03E+13
k_ary_n_mesh.host[3];Throughput:min;7.09E+06
k_ary_n_mesh.host[3];Throughput:max;7.09E+06
k_ary_n_mesh.host[4];Latengy:count;1018
k_ary_n_mesh.host[4];Latengy:mean;0.000146918
k_ary_n_mesh.host[4];Latengy:stddev;0.000164122
k_ary_n_mesh.host[4];Latengy:sum;0.149563
k_ary_n_mesh.host[4];Latengy:sqrsum;4.94E-05
k_ary_n_mesh.host[4];Latengy:min;1.13E-07
k_ary_n_mesh.host[4];Latengy:max;0.000845084
k_ary_n_mesh.host[4];Throughput:count;1
k_ary_n_mesh.host[4];Throughput:mean;7.05E+06
k_ary_n_mesh.host[4];Throughput:stddev;NaN
k_ary_n_mesh.host[4];Throughput:sum;7.05E+06
k_ary_n_mesh.host[4];Throughput:sqrsum;4.97E+13
k_ary_n_mesh.host[4];Throughput:min;7.05E+06
k_ary_n_mesh.host[4];Throughput:max;7.05E+06
k_ary_n_mesh.host[5];Latengy:count;941
k_ary_n_mesh.host[5];Latengy:mean;0.000136137
k_ary_n_mesh.host[5];Latengy:stddev;0.000162725
k_ary_n_mesh.host[5];Latengy:sum;0.128105
k_ary_n_mesh.host[5];Latengy:sqrsum;4.23E-05
k_ary_n_mesh.host[5];Latengy:min;1.22E-07
k_ary_n_mesh.host[5];Latengy:max;0.00086631
k_ary_n_mesh.host[5];Throughput:count;1
k_ary_n_mesh.host[5];Throughput:mean;6.52E+06
k_ary_n_mesh.host[5];Throughput:stddev;NaN
k_ary_n_mesh.host[5];Throughput:sum;6.52E+06
k_ary_n_mesh.host[5];Throughput:sqrsum;4.25E+13
k_ary_n_mesh.host[5];Throughput:min;6.52E+06
k_ary_n_mesh.host[5];Throughput:max;6.52E+06
k_ary_n_mesh.host[6];Latengy:count;995
k_ary_n_mesh.host[6];Latengy:mean;0.000119303
k_ary_n_mesh.host[6];Latengy:stddev;0.000156884
k_ary_n_mesh.host[6];Latengy:sum;0.118706
k_ary_n_mesh.host[6];Latengy:sqrsum;3.86E-05
k_ary_n_mesh.host[6];Latengy:min;1.22E-07
k_ary_n_mesh.host[6];Latengy:max;0.00128482
k_ary_n_mesh.host[6];Throughput:count;1
k_ary_n_mesh.host[6];Throughput:mean;6.89E+06
k_ary_n_mesh.host[6];Throughput:stddev;NaN
k_ary_n_mesh.host[6];Throughput:sum;6.89E+06
k_ary_n_mesh.host[6];Throughput:sqrsum;4.75E+13
k_ary_n_mesh.host[6];Throughput:min;6.89E+06
k_ary_n_mesh.host[6];Throughput:max;6.89E+06
k_ary_n_mesh.host[7];Latengy:count;981
k_ary_n_mesh.host[7];Latengy:mean;0.00010166
k_ary_n_mesh.host[7];Latengy:stddev;0.000136706
k_ary_n_mesh.host[7];Latengy:sum;0.099728
k_ary_n_mesh.host[7];Latengy:sqrsum;2.85E-05
k_ary_n_mesh.host[7];Latengy:min;1.13E-07
k_ary_n_mesh.host[7];Latengy:max;0.000845918
k_ary_n_mesh.host[7];Throughput:count;1
k_ary_n_mesh.host[7];Throughput:mean;6.80E+06
k_ary_n_mesh.host[7];Throughput:stddev;NaN
k_ary_n_mesh.host[7];Throughput:sum;6.80E+06
k_ary_n_mesh.host[7];Throughput:sqrsum;4.62E+13
k_ary_n_mesh.host[7];Throughput:min;6.80E+06
k_ary_n_mesh.host[7];Throughput:max;6.80E+06
k_ary_n_mesh.host[8];Latengy:count;1003
k_ary_n_mesh.host[8];Latengy:mean;0.000126855
k_ary_n_mesh.host[8];Latengy:stddev;0.000178321
k_ary_n_mesh.host[8];Latengy:sum;0.127235
k_ary_n_mesh.host[8];Latengy:sqrsum;4.80E-05
k_ary_n_mesh.host[8];Latengy:min;9.26E-08
k_ary_n_mesh.host[8];Latengy:max;0.0010833
k_ary_n_mesh.host[8];Throughput:count;1
k_ary_n_mesh.host[8];Throughput:mean;6.95E+06
k_ary_n_mesh.host[8];Throughput:stddev;NaN
k_ary_n_mesh.host[8];Throughput:sum;6.95E+06
k_ary_n_mesh.host[8];Throughput:sqrsum;4.83E+13
k_ary_n_mesh.host[8];Throughput:min;6.95E+06
k_ary_n_mesh.host[8];Throughput:max;6.95E+06
k_ary_n_mesh.host[9];Latengy:count;1007
k_ary_n_mesh.host[9];Latengy:mean;0.000156287
k_ary_n_mesh.host[9];Latengy:stddev;0.000219003
k_ary_n_mesh.host[9];Latengy:sum;0.157381
k_ary_n_mesh.host[9];Latengy:sqrsum;7.28E-05
k_ary_n_mesh.host[9];Latengy:min;1.00E-07
k_ary_n_mesh.host[9];Latengy:max;0.00138909
k_ary_n_mesh.host[9];Throughput:count;1
k_ary_n_mesh.host[9];Throughput:mean;6.98E+06
k_ary_n_mesh.host[9];Throughput:stddev;NaN
k_ary_n_mesh.host[9];Throughput:sum;6.98E+06
k_ary_n_mesh.host[9];Throughput:sqrsum;4.87E+13
k_ary_n_mesh.host[9];Throughput:min;6.98E+06
k_ary_n_mesh.host[9];Throughput:max;6.98E+06
k_ary_n_mesh.host[10];Latengy:count;976
k_ary_n_mesh.host[10];Latengy:mean;0.000145191
k_ary_n_mesh.host[10];Latengy:stddev;0.000184071
k_ary_n_mesh.host[10];Latengy:sum;0.141706
k_ary_n_mesh.host[10];Latengy:sqrsum;5.36E-05
k_ary_n_mesh.host[10];Latengy:min;1.05E-07
k_ary_n_mesh.host[10];Latengy:max;0.000926507
k_ary_n_mesh.host[10];Throughput:count;1
k_ary_n_mesh.host[10];Throughput:mean;6.76E+06
k_ary_n_mesh.host[10];Throughput:stddev;NaN
k_ary_n_mesh.host[10];Throughput:sum;6.76E+06
k_ary_n_mesh.host[10];Throughput:sqrsum;4.57E+13
k_ary_n_mesh.host[10];Throughput:min;6.76E+06
k_ary_n_mesh.host[10];Throughput:max;6.76E+06
k_ary_n_mesh.host[11];Latengy:count;1047
k_ary_n_mesh.host[11];Latengy:mean;0.000150309
k_ary_n_mesh.host[11];Latengy:stddev;0.000175332
k_ary_n_mesh.host[11];Latengy:sum;0.157374
k_ary_n_mesh.host[11];Latengy:sqrsum;5.58E-05
k_ary_n_mesh.host[11];Latengy:min;1.13E-07
k_ary_n_mesh.host[11];Latengy:max;0.00101274
k_ary_n_mesh.host[11];Throughput:count;1
k_ary_n_mesh.host[11];Throughput:mean;7.25E+06
k_ary_n_mesh.host[11];Throughput:stddev;NaN
k_ary_n_mesh.host[11];Throughput:sum;7.25E+06
k_ary_n_mesh.host[11];Throughput:sqrsum;5.26E+13
k_ary_n_mesh.host[11];Throughput:min;7.25E+06
k_ary_n_mesh.host[11];Throughput:max;7.25E+06
k_ary_n_mesh.host[12];Latengy:count;1018
k_ary_n_mesh.host[12];Latengy:mean;0.00014238
k_ary_n_mesh.host[12];Latengy:stddev;0.000157882
k_ary_n_mesh.host[12];Latengy:sum;0.144943
k_ary_n_mesh.host[12];Latengy:sqrsum;4.60E-05
k_ary_n_mesh.host[12];Latengy:min;1.22E-07
k_ary_n_mesh.host[12];Latengy:max;0.000885122
k_ary_n_mesh.host[12];Throughput:count;1
k_ary_n_mesh.host[12];Throughput:mean;7.05E+06
k_ary_n_mesh.host[12];Throughput:stddev;NaN
k_ary_n_mesh.host[12];Throughput:sum;7.05E+06
k_ary_n_mesh.host[12];Throughput:sqrsum;4.97E+13
k_ary_n_mesh.host[12];Throughput:min;7.05E+06
k_ary_n_mesh.host[12];Throughput:max;7.05E+06
k_ary_n_mesh.host[13];Latengy:count;1038
k_ary_n_mesh.host[13];Latengy:mean;0.000145335
k_ary_n_mesh.host[13];Latengy:stddev;0.000167012
k_ary_n_mesh.host[13];Latengy:sum;0.150858
k_ary_n_mesh.host[13];Latengy:sqrsum;5.09E-05
k_ary_n_mesh.host[13];Latengy:min;1.33E-07
k_ary_n_mesh.host[13];Latengy:max;0.000927473
k_ary_n_mesh.host[13];Throughput:count;1
k_ary_n_mesh.host[13];Throughput:mean;7.19E+06
k_ary_n_mesh.host[13];Throughput:stddev;NaN
